Time,Open,High,Low,Close,Close_eurjpy,Close_audjpy,Close_gbpjpy
2023/1/24 8:00,130.075,130.105,129.906,130.017,141.5,91.588,160.254
2023/1/24 9:00,130.017,130.089,129.973,130.088,141.526,91.613,160.405
2023/1/24 10:00,130.087,130.103,130.018,130.045,141.542,91.663,160.432
2023/1/24 11:00,130.045,130.154,130.019,130.153,141.626,91.649,160.542
2023/1/24 12:00,130.154,130.201,130.117,130.162,141.692,91.691,160.588
2023/1/24 13:00,130.161,130.198,130.142,130.149,141.68,91.627,160.445
2023/1/24 14:00,130.154,130.247,130.033,130.21,141.793,91.767,160.564
2023/1/24 15:00,130.214,130.463,130.2,130.331,141.893,92.271,160.63
2023/1/24 16:00,130.333,130.366,130.182,130.266,141.897,92.261,160.56
2023/1/24 17:00,130.264,130.325,130.106,130.314,141.993,92.439,160.603
2023/1/24 18:00,130.318,130.571,130.3,130.507,142.214,92.629,160.858
2023/1/24 19:00,130.507,130.579,130.348,130.443,142.161,92.595,160.766
2023/1/24 20:00,130.444,130.581,130.434,130.437,142.146,92.587,160.721
2023/1/24 21:00,130.438,130.482,130.3,130.391,142.205,92.751,160.76
2023/1/24 22:00,130.395,130.48,130.255,130.43,141.923,92.554,160.648
2023/1/24 23:00,130.43,130.491,130.161,130.239,141.66,92.431,160.398
2023/1/25 0:00,130.24,130.28,129.802,129.849,141.288,92.057,159.842
2023/1/25 1:00,129.848,130.101,129.805,129.981,141.234,92.071,159.894
2023/1/25 2:00,129.98,129.98,129.655,129.692,140.902,91.842,159.595
2023/1/25 3:00,129.691,129.856,129.557,129.697,141.041,91.837,159.92
2023/1/25 4:00,129.698,130.032,129.678,129.957,141.291,91.802,160.04
2023/1/25 5:00,129.959,130.001,129.616,129.699,141.286,91.729,160.264
2023/1/25 6:00,129.692,129.714,129.264,129.587,141.278,91.675,160.139
2023/1/25 7:00,129.587,129.944,129.56,129.639,141.307,91.771,160.377
2023/1/25 8:00,129.639,129.714,129.551,129.611,141.266,91.758,160.479
2023/1/25 9:00,129.613,129.627,129.416,129.533,141.31,91.906,160.494
2023/1/25 10:00,129.532,129.674,129.51,129.535,141.383,91.968,160.609
2023/1/25 11:00,129.535,129.642,129.497,129.596,141.447,92.041,160.657
2023/1/25 12:00,129.597,129.614,129.534,129.565,141.42,91.978,160.696
2023/1/25 13:00,129.565,129.588,129.43,129.481,141.317,91.993,160.546
2023/1/25 14:00,129.489,129.51,129.224,129.256,141.158,91.867,160.4
2023/1/25 15:00,129.257,129.377,129.104,129.212,141.047,91.801,160.31
2023/1/25 16:00,129.215,129.342,129.096,129.21,141.084,91.873,160.338
2023/1/25 17:00,129.209,129.587,129.139,129.384,141.224,92.04,160.444
2023/1/25 18:00,129.384,129.436,129.269,129.31,141.115,91.947,160.271
2023/1/25 19:00,129.309,129.321,129.02,129.238,141.058,92.014,160.249
2023/1/25 20:00,129.238,129.43,129.232,129.326,141.207,92.121,160.371
2023/1/25 21:00,129.326,129.408,129.197,129.337,141.235,91.995,160.39
2023/1/25 22:00,129.338,129.746,129.337,129.478,141.386,92.168,160.654
2023/1/25 23:00,129.482,129.867,129.478,129.808,141.604,92.273,160.867
2023/1/26 0:00,129.809,129.992,129.738,129.956,141.591,92.31,160.934
2023/1/26 1:00,129.955,129.997,129.624,129.678,141.432,92.289,160.737
2023/1/26 2:00,129.679,129.892,129.677,129.821,141.539,92.393,160.857
2023/1/26 3:00,129.822,130.012,129.645,129.752,141.334,92.398,160.826
2023/1/26 4:00,129.757,130.3,129.672,129.868,141.592,92.495,160.927
2023/1/26 5:00,129.868,130.383,129.704,130.312,141.864,92.572,161.25
2023/1/26 6:00,130.312,130.548,130.129,130.442,141.596,92.413,161.16
2023/1/26 7:00,130.443,130.618,130.314,130.399,141.672,92.489,161.27
2023/1/26 8:00,130.398,130.416,130.257,130.336,141.6,92.466,161.282
2023/1/26 9:00,130.334,130.334,130.05,130.148,141.682,92.472,161.422
2023/1/26 10:00,130.149,130.291,130.139,130.22,141.799,92.62,161.574
2023/1/26 11:00,130.223,130.296,130.194,130.245,141.861,92.688,161.685
2023/1/26 12:00,130.243,130.279,130.196,130.202,141.827,92.62,161.57
2023/1/26 13:00,130.176,130.214,130.081,130.126,141.696,92.557,161.406
2023/1/26 14:00,130.125,130.209,129.648,129.803,141.397,92.338,161.133
2023/1/26 15:00,129.804,129.886,129.496,129.635,141.255,92.411,160.969
2023/1/26 16:00,129.635,129.813,129.613,129.688,141.222,92.38,160.854
